Motif,Motif Start Position Relative to ATG,stop,strand,FIMO Score,TF AgID from Y1H Interaction,Y1H Validated,Size
M0583,250,257,+,7.9697,,black,1
M0583,514,521,+,8,,black,1
M0583,911,918,-,7.80808,,black,1
M0583,1815,1822,-,7.80808,,black,1
M0583,870,892,-,7.6129,,black,1
M0583,1928,1950,+,5.20968,,black,1
M0583,1929,1951,-,4.72581,,black,1
M0583,231,253,-,6.21429,,black,1
M0583,735,757,-,5.73016,,black,1
M0583,870,892,-,8.57937,,black,1
M0583,1929,1951,-,6.92063,,black,1
M0583,92,114,+,9.73611,,black,1
M0583,581,603,-,9.375,,black,1
M0583,1333,1355,+,7.75,,black,1
M0583,1465,1487,-,8.375,,black,1
M0583,1832,1854,-,8.02778,,black,1
M0583,22,43,-,6.5,,black,1
M0583,315,336,+,5.7381,,black,1
M0583,322,343,-,4.29365,,black,1
M0583,1286,1307,-,5.57937,,black,1
M0583,1333,1354,+,4.20635,,black,1
M0583,1837,1858,+,4.70635,,black,1
M0583,1935,1956,+,4.97619,,black,1
M0592,321,330,-,7.79592,,black,1
M0592,241,263,+,4.79839,,black,1
M0592,735,757,-,5.40323,,black,1
M0592,870,892,-,6.62903,,black,1
M0592,616,638,-,7.184,,black,1
M0592,617,639,+,9.232,,black,1
M0592,1190,1212,-,6.672,,black,1
M0592,1327,1349,+,4.39516,,black,1
M0592,1256,1277,+,3.89362,,black,1
M0592,1328,1349,-,5.01418,,black,1
M0593,1338,1348,-,7.07143,,black,1
M0616,280,290,-,7.36735,,black,1
M0616,536,546,-,7.07143,,black,1
M0616,773,783,+,6.5102,,black,1
M0616,1180,1190,+,8.52041,,black,1
M0616,1217,1227,-,6.33673,,black,1
M0616,1237,1247,+,10.1939,,black,1
M0616,1379,1389,+,7.73469,,black,1
M0616,1760,1770,-,9.10204,,black,1
M0616,73,95,+,7.72581,,black,1
M0616,273,295,-,6.5,,black,1
M0616,772,794,+,6.53226,,black,1
M0616,1175,1197,+,8.53226,,black,1
M0616,1232,1254,+,10.9194,,black,1
M0616,1633,1655,-,6.3871,,black,1
M0616,204,226,+,5.27642,,black,1
M0616,273,295,-,9.47967,,black,1
M0616,1618,1640,+,6.11382,,black,1
M0616,166,188,-,7.09756,,black,1
M0616,949,971,-,5.81301,,black,1
M0616,530,551,+,8.26761,,black,1
M0616,948,969,+,7.45775,,black,1
M0616,1227,1248,-,7.05634,,black,1
M0616,1754,1775,+,6.65493,,black,1
M0618,802,811,-,6.43697,,black,1
M0618,802,811,+,6.43697,,black,1
M0618,1761,1770,-,6.13445,,black,1
M0618,1761,1770,+,6.13445,,black,1
M0618,530,551,+,6.50459,,black,1
M0618,795,816,+,4.29358,,black,1
M0618,1227,1248,-,4.27523,,black,1
M0618,1475,1496,-,5.58716,,black,1
M0618,206,227,-,5.25,,black,1
M0618,1136,1157,+,4.24194,,black,1
M0618,1223,1244,+,6.65323,,black,1
M0618,1370,1391,+,4.81452,,black,1
M0618,1471,1492,+,4.3629,,black,1
M0618,767,789,-,6.10569,,black,1
M0618,1692,1714,+,11.0244,,black,1
M0618,1755,1777,-,5.8374,,black,1
M0618,768,789,-,6.55046,,black,1
M0618,1475,1496,-,6.11009,,black,1
M0618,1692,1713,+,12.1376,,black,1
M0691,1483,1490,+,8.87755,,black,1
M0691,372,393,-,4.72477,,black,1
M0691,731,752,+,5.88073,,black,1
M0691,1691,1712,+,3.15596,,black,1
M0691,733,755,-,10.4,,black,1
M0691,733,755,+,7.57241,,black,1
M0691,372,393,-,1.17172,,black,1
M0691,372,393,+,1.45455,,black,1
M0691,609,630,-,2.11111,,black,1
M0691,1233,1254,-,0.787879,,black,1
M0691,1233,1254,+,2.57576,,black,1
M0691,1395,1416,-,2.13131,,black,1
M0691,371,393,-,0.899083,,black,1
M0691,730,752,-,0.944954,,black,1
M0691,1394,1416,-,2.20183,,black,1
M0691,1395,1417,+,1.83486,,black,1
M0691,1918,1940,-,1.41284,,black,1
M0691,1926,1948,+,1.23853,,black,1
M0692,372,393,-,2.36697,,black,1
M0692,372,393,+,5.15596,,black,1
M0692,731,752,-,2.77982,,black,1
M0692,831,852,-,6.51376,,black,1
M0692,831,852,+,7.76147,,black,1
M0692,1191,1212,+,4.80734,,black,1
M0692,1926,1947,-,4.98165,,black,1
M0692,372,393,+,2.44444,,black,1
M0692,378,399,+,1.50505,,black,1
M0692,725,746,-,1.31313,,black,1
M0692,742,763,+,1.74747,,black,1
M0692,1233,1254,-,2.64646,,black,1
M0692,1233,1254,+,4.46465,,black,1
M0692,1395,1416,-,1.40404,,black,1
M0692,1562,1583,+,3.71717,,black,1
M0692,1919,1940,+,1.63636,,black,1
M0692,1920,1941,-,3.87879,,black,1
M0692,1920,1941,+,2.35354,,black,1
M0692,371,393,-,1.29592,,black,1
M0692,725,747,+,0.979592,,black,1
M0692,741,763,-,3.02041,,black,1
M0692,1394,1416,-,0.959184,,black,1
M0692,1395,1417,+,0.5,,black,1
M0692,1561,1583,-,0.44898,,black,1
M0693,505,511,+,6.68,,black,1
M0693,707,713,+,6.54,,black,1
M0693,1005,1011,-,6.56,,black,1
M0693,1045,1051,-,6.56,,black,1
M0693,1100,1106,-,6.67,,black,1
M0693,1832,1838,+,6.79,,black,1
M0693,317,339,-,9.63014,,black,1
M0693,781,803,-,6.14384,,black,1
M0693,1089,1111,+,9.89041,,black,1
M0693,1182,1204,-,6.11644,,black,1
M0693,1612,1634,-,6.46575,,black,1
M0693,466,487,-,5.8,,black,1
M0693,731,752,-,12.68,,black,1
M0693,1164,1185,-,8.26613,,black,1
M0693,1233,1254,+,4.96774,,black,1
M0693,3,24,+,8.55963,,black,1
M0693,729,750,-,5.55963,,black,1
M0693,937,958,+,6.31193,,black,1
M0694,1528,1536,+,7.84,,black,1
M0694,1529,1537,-,8.82,,black,1
M0694,1832,1840,-,7.73,,black,1
M0694,1843,1851,+,7.89,,black,1
M0694,1844,1852,-,7.79,,black,1
M0694,117,138,-,5.0202,,black,1
M0694,320,341,-,4.43434,,black,1
M0694,1150,1171,-,8.79798,,black,1
M0694,1150,1171,+,5.07071,,black,1
M0694,1283,1304,+,4.48485,,black,1
M0694,1837,1858,-,5.51515,,black,1
M0694,115,137,+,3.5,,black,1
M0694,1148,1170,+,5.27551,,black,1
M0694,1151,1173,-,3.29592,,black,1
M0695,506,512,+,7.31313,,black,1
M0695,1044,1050,-,7.0202,,black,1
M0695,1099,1105,-,7.0202,,black,1
M0695,1291,1297,+,7.27273,,black,1
M0695,1833,1839,+,7.31313,,black,1
M0695,498,519,-,11.1273,,black,1
M0695,498,519,+,7.91818,,black,1
M0695,731,752,-,5.10909,,black,1
M0695,935,956,+,5.26364,,black,1
M0695,1919,1940,-,7.23636,,black,1
M0695,1919,1940,+,5.29091,,black,1
M0695,317,339,-,6.68276,,black,1
M0695,733,755,-,6.17241,,black,1
M0695,1089,1111,+,9.51724,,black,1
M0695,59,80,-,4.04545,,black,1
M0695,831,852,+,4.41818,,black,1
M0695,935,956,+,6.61818,,black,1
M0695,1112,1133,-,5.9,,black,1
M0695,1444,1465,+,6.19091,,black,1
M0695,1280,1301,+,5.43548,,black,1
M0696,1482,1491,-,6.34951,,black,1
M0696,1482,1491,+,6.34951,,black,1
M0696,372,393,+,5.55046,,black,1
M0696,731,752,-,4.06422,,black,1
M0696,935,956,+,1.91743,,black,1
M0696,1191,1212,-,4.88073,,black,1
M0696,371,393,-,4.76147,,black,1
M0696,1191,1213,+,4.46789,,black,1
M0696,1691,1713,+,3.10092,,black,1
M0696,1395,1416,-,0.495413,,black,1
M0696,1562,1583,+,1.23853,,black,1
M0696,58,80,-,6.98182,,black,1
M0696,372,394,+,5.92727,,black,1
M0696,742,764,+,5.18182,,black,1
M0696,935,957,+,7.26364,,black,1
M0696,1394,1416,-,6.97273,,black,1
M0696,1395,1417,+,5.1,,black,1
M0696,1825,1847,+,8.26364,,black,1
M0696,1918,1940,-,8.41818,,black,1
M0696,1919,1941,+,8.42727,,black,1
M0697,736,745,+,6.58095,,black,1
M0697,830,852,+,4.82569,,black,1
M0697,831,853,-,7.77982,,black,1
M0697,1409,1431,-,4.00917,,black,1
M0697,831,852,-,7,,black,1
M0697,831,852,+,3.27551,,black,1
M0697,831,852,-,2.75229,,black,1
M0697,831,852,+,6.95413,,black,1
M0697,935,956,-,2.54128,,black,1
M0697,1112,1133,+,2.90826,,black,1
M0697,1926,1947,-,2.22018,,black,1
M0697,1926,1947,+,0.357798,,black,1
M0697,372,393,-,-0.862385,,black,1
M0697,372,393,+,0.954128,,black,1
M0697,1395,1416,-,5.99083,,black,1
M0697,1395,1416,+,2.00917,,black,1
M0698,1239,1247,-,8.17,,black,1
M0698,1482,1490,-,8.41,,black,1
M0698,372,393,+,2.93939,,black,1
M0698,731,752,-,5.11111,,black,1
M0698,609,630,-,3.0102,,black,1
M0698,831,852,+,7.72449,,black,1
M0698,1191,1212,-,5.39796,,black,1
M0698,1191,1212,+,3.58163,,black,1
M0698,1926,1947,-,6.91837,,black,1
M0698,372,393,+,3.64646,,black,1
M0698,1233,1254,-,0.767677,,black,1
M0698,1395,1416,-,1.42424,,black,1
M0698,1562,1583,-,1.45455,,black,1
M0698,1562,1583,+,2.48485,,black,1
M0698,1920,1941,+,1.23232,,black,1
M0699,372,393,+,4.72727,,black,1
M0699,935,956,+,4.0404,,black,1
M0699,1191,1212,-,6.0404,,black,1
M0699,1926,1947,-,6.74747,,black,1
M0699,372,393,+,1.56566,,black,1
M0699,1233,1254,-,-0.414141,,black,1
M0699,1395,1416,-,3.05051,,black,1
M0699,1562,1583,-,2.93939,,black,1
M0699,1562,1583,+,5.73737,,black,1
M0699,1920,1941,+,0.434343,,black,1
M0699,1232,1253,-,0.989796,,black,1
M0699,1394,1415,-,5.7449,,black,1
M0699,1563,1584,+,6.45918,,black,1
M0699,1918,1939,-,0.887755,,black,1
M0699,1920,1941,+,1.27551,,black,1
M0701,1288,1298,+,6.11224,,black,1
M0701,831,852,-,7.9645,,black,1
M0701,831,852,+,7.57988,,black,1
M0701,1191,1212,-,10.5917,,black,1
M0701,1395,1416,+,4.80488,,black,1
M0701,58,80,+,8.43089,,black,1
M0701,164,186,-,8.98374,,black,1
M0701,1444,1466,-,6.04065,,black,1
M0701,1825,1847,-,6.18699,,black,1
M0702,372,393,+,4.63636,,black,1
M0702,1191,1212,-,3.05051,,black,1
M0702,341,363,+,4.5,,black,1
M0702,733,755,-,8.34677,,black,1
M0702,733,755,+,3.19355,,black,1
M0703,1482,1491,-,5.72826,,black,1
M0703,1482,1491,+,5.72826,,black,1
M0703,372,393,+,6.71818,,black,1
M0703,731,752,-,5.49091,,black,1
M0703,935,956,+,5.18182,,black,1
M0703,1191,1212,-,6.8,,black,1
M0703,831,852,-,10.7064,,black,1
M0703,831,852,+,5.51376,,black,1
M0703,1191,1212,-,6.45872,,black,1
M0703,1191,1212,+,9.48624,,black,1
M0703,1926,1947,-,3.55963,,black,1
M0703,1395,1416,-,3.34862,,black,1
M0703,1562,1583,+,1.17431,,black,1
M0703,3,25,+,5.26364,,black,1
M0703,58,80,-,5.21818,,black,1
M0703,372,394,+,6.92727,,black,1
M0703,730,752,-,5.05455,,black,1
M0703,935,957,+,7.39091,,black,1
M0703,1394,1416,-,9.81818,,black,1
M0703,1395,1417,+,8.01818,,black,1
M0703,1825,1847,+,6.41818,,black,1
M0703,1918,1940,-,8,,black,1
M0703,1919,1941,+,5.57273,,black,1
M0718,1043,1051,+,4.66337,,black,1
M0718,1483,1491,-,4.66337,,black,1
M0718,1528,1536,+,4.59406,,black,1
M0718,1776,1784,+,4.57426,,black,1
M0718,1832,1840,-,4.76238,,black,1
M0770,719,728,+,7.55446,,black,1
M0770,760,769,-,8,,black,1
M0770,1244,1253,-,7.29703,,black,1
M0770,1462,1471,+,7.0297,,black,1
M0770,1499,1508,+,8.42574,,black,1
M0770,1492,1513,-,7.68807,,black,1
M0770,1492,1513,+,5.61468,,black,1
M0770,417,438,+,3.44954,,black,1
M0770,754,775,-,11.1193,,black,1
M0770,1238,1259,-,4.62385,,black,1
M0770,1492,1513,+,8.26606,,black,1
M0770,755,776,-,9.90826,,black,1
M0770,1236,1257,+,4.07339,,black,1
M0773,40,48,+,7.39604,,black,1
M0773,470,478,-,7.39604,,black,1
M0773,472,480,+,7.38614,,black,1
M0773,1326,1334,-,7.39604,,black,1
M0773,1670,1678,-,9.48515,,black,1
M0773,127,149,+,7.37273,,black,1
M0773,329,351,-,2.37273,,black,1
M0773,1304,1326,+,3.51818,,black,1
M0773,1664,1686,-,7.81818,,black,1
M0773,128,150,+,6.06364,,black,1
M0773,149,171,+,1.39091,,black,1
M0773,546,568,+,3.58182,,black,1
M0773,1211,1233,-,1.70909,,black,1
M0773,1305,1327,+,2.62727,,black,1
M0773,1321,1343,+,1.54545,,black,1
M0773,1663,1685,-,9.11818,,black,1
M0775,1072,1081,+,7.49774,,black,1
M0776,1072,1081,+,10.6429,,black,1
M0776,1119,1128,-,5.85714,,black,1
M0776,1218,1227,-,4.56122,,black,1
M0776,1118,1140,-,2.60484,,black,1
M0776,1859,1881,+,3.25,,black,1
M0776,325,346,-,3.72727,,black,1
M0776,1066,1087,+,3.4,,black,1
M0776,1119,1140,+,3.33636,,black,1
M0776,1161,1182,-,3.89091,,black,1
M0776,1664,1685,-,3.79091,,black,1
M0778,1074,1081,+,8.63725,,black,1
M0778,88,109,+,6.46774,,black,1
M0778,784,805,+,6.31452,,black,1
M0778,1067,1088,-,5.95161,,black,1
M0778,1837,1858,+,6.62903,,black,1
M0778,604,626,+,6.74306,,black,1
M0778,1066,1088,-,6.52083,,black,1
M0778,1160,1182,+,6.75,,black,1
M0778,1286,1308,+,6.75,,black,1
M0778,1791,1813,+,7.28472,,black,1
M0778,920,941,+,3.58929,,black,1
M0778,1664,1685,-,5.08036,,black,1
M0778,1118,1140,-,7.52381,,black,1
M0778,1859,1881,+,3.78571,,black,1
M0778,1863,1885,-,3.09524,,black,1
M0779,258,267,-,6.74534,,black,1
M0779,258,267,+,6.74534,,black,1
M0779,463,472,-,6.51553,,black,1
M0779,463,472,+,6.51553,,black,1
M0779,497,506,-,6.55901,,black,1
M0779,497,506,+,6.55901,,black,1
M0779,127,149,+,3.824,,black,1
M0779,217,239,-,3.664,,black,1
M0779,1118,1140,+,7.688,,black,1
M0779,1212,1234,-,5.856,,black,1
M0779,128,150,+,6.64085,,black,1
M0779,149,171,+,5.98592,,black,1
M0779,1119,1141,+,7.30282,,black,1
M0779,1211,1233,-,8.62676,,black,1
M0780,154,164,+,12.2772,,black,1
M0780,1167,1177,+,9.44554,,black,1
M0780,1330,1340,-,9.34653,,black,1
M0780,1576,1586,+,9.53465,,black,1
M0780,1577,1587,-,10.0792,,black,1
M0780,1645,1655,-,9.75248,,black,1
M0780,1645,1655,+,7.08911,,black,1
M0780,1670,1680,-,8.92079,,black,1
M0780,33,54,-,10.6279,,black,1
M0780,76,97,+,5.96124,,black,1
M0780,112,133,+,9.24806,,black,1
M0780,149,170,+,11.3101,,black,1
M0780,329,350,-,9.22481,,black,1
M0780,341,362,-,6.83721,,black,1
M0780,454,475,-,7.91473,,black,1
M0780,668,689,-,8.91473,,black,1
M0780,1243,1264,+,6.2093,,black,1
M0780,1297,1318,-,7.08527,,black,1
M0780,1297,1318,+,8.96124,,black,1
M0780,1304,1325,+,7.04651,,black,1
M0780,1321,1342,+,6.37984,,black,1
M0780,1324,1345,-,10.9767,,black,1
M0780,1324,1345,+,6.48837,,black,1
M0780,1571,1592,-,13.8217,,black,1
M0780,1639,1660,-,7.73643,,black,1
M0780,1640,1661,-,6.5969,,black,1
M0780,1664,1685,-,7.4186,,black,1
M0780,149,171,+,8.168,,black,1
M0780,251,273,-,7.696,,black,1
M0780,544,566,-,5.632,,black,1
M0780,772,794,+,5.048,,black,1
M0780,1570,1592,-,4.96,,black,1
M0780,1638,1660,-,5.344,,black,1
M0780,1640,1662,+,5.624,,black,1
M0780,549,571,+,5.70796,,black,1
M0780,869,891,-,5.62832,,black,1
M0780,1570,1592,-,4.12389,,black,1
M0780,1638,1660,-,4.70796,,black,1
M0780,1639,1661,-,6.25664,,black,1
M0780,1639,1661,+,4.35398,,black,1
M0780,549,571,+,5.97345,,black,1
M0780,869,891,-,5.89381,,black,1
M0780,1639,1661,-,5.79646,,black,1
M0780,1639,1661,+,4.19469,,black,1
M0780,1862,1884,-,4.17699,,black,1
M0781,1072,1081,+,7.30612,,black,1
M0781,1218,1227,-,4,,black,1
M0781,920,941,+,3.84821,,black,1
M0781,1212,1233,-,4.95536,,black,1
M0781,1664,1685,-,3.63393,,black,1
M0781,1859,1881,-,6.83333,,black,1
M0781,1863,1885,+,5.69048,,black,1
M0781,115,136,-,4.70796,,black,1
M0781,900,921,-,8.16814,,black,1
M0781,1119,1140,+,5.64602,,black,1
M0781,1263,1284,-,4.57522,,black,1
M0781,899,920,-,4.76364,,black,1
M0781,1262,1283,-,6.74545,,black,1
M0784,40,47,+,10.0396,,black,1
M0784,471,478,-,10.0396,,black,1
M0784,553,560,+,4.0396,,black,1
M0784,638,645,-,6.37624,,black,1
M0784,646,653,-,9.66337,,black,1
M0784,668,675,+,3.83168,,black,1
M0784,1260,1267,+,4.94059,,black,1
M0784,1408,1415,+,9.66337,,black,1
M0784,1431,1438,+,3.85149,,black,1
M0784,1559,1566,+,6.37624,,black,1
M0784,1671,1678,-,11.8812,,black,1
M0784,127,149,+,4.66071,,black,1
M0784,1664,1686,-,5.22321,,black,1
M0784,128,150,+,2.56757,,black,1
M0784,149,171,+,3.06306,,black,1
M0784,546,568,+,2.84685,,black,1
M0784,1663,1685,-,6.14414,,black,1
M0785,142,163,+,5.15455,,black,1
M0785,576,597,+,5.44545,,black,1
M0785,1492,1513,-,14.6091,,black,1
M0785,1492,1513,+,10.1,,black,1
M1116,471,480,-,7.60396,,black,1
M1116,551,560,+,7.44554,,black,1
M1116,646,655,-,8.08911,,black,1
M1116,1406,1415,+,7.73267,,black,1
M1116,1671,1680,-,10.0099,,black,1
M1218,206,215,-,9.64228,,black,1
M1218,246,255,-,7.60163,,black,1
M1218,925,934,+,9.25203,,black,1
M1218,1481,1490,-,7.54472,,black,1
M1227,208,215,-,9.5102,,black,1
M1227,925,932,+,11.3776,,black,1
M1227,1435,1442,+,5.42857,,black,1
M1229,235,242,-,8.83673,,black,1
M1229,763,770,-,10.3673,,black,1
M1229,1384,1391,+,7.60204,,black,1
M1230,207,216,-,7.91667,,black,1
M1230,247,256,-,7.58333,,black,1
M1230,924,933,+,8.8631,,black,1
M1234,206,215,-,10.3577,,black,1
M1234,925,934,+,8.6748,,black,1
M1234,1481,1490,-,7.6748,,black,1
M1234,202,223,-,12.4679,,black,1
M1234,689,710,-,4.54128,,black,1
M1234,735,756,+,4.82569,,black,1
M1234,841,862,+,5.49541,,black,1
M1234,1427,1448,+,4.80734,,black,1
M1234,1516,1537,+,5.47706,,black,1
M1234,1533,1554,+,4.55963,,black,1
M1234,1946,1967,+,8,,black,1
M1234,200,222,-,4.79817,,black,1
M1234,240,262,-,4.70642,,black,1
M1234,1517,1539,+,7.3211,,black,1
M1234,1947,1969,+,5.85321,,black,1
M1234,384,406,-,0.653061,,black,1
M1234,917,939,+,2.65306,,black,1
M1234,974,996,-,1.40816,,black,1
M1234,199,221,+,2.95918,,black,1
M1234,805,827,-,3.20408,,black,1
