Motif,Motif Start Position Relative to ATG,stop,strand,FIMO Score,TF AgID from Y1H Interaction,Y1H Validated,Size
M0695,582,603,+,8.43636,AT3G21175,blue,3
M0695,627,648,+,7.6,AT3G21175,blue,3
M0695,786,807,+,9.9,AT3G21175,blue,3
M0695,1047,1068,-,5.83636,AT3G21175,blue,3
M0695,1416,1437,+,5.19091,AT3G21175,blue,3
M0695,1683,1704,-,5.53636,AT3G21175,blue,3
M0695,1683,1704,+,10.4545,AT3G21175,blue,3
M0695,2087,2108,+,8.03636,AT3G21175,blue,3
M0695,2930,2951,-,11.5727,AT3G21175,blue,3
M0695,2930,2951,+,5.61818,AT3G21175,blue,3
M0695,2937,2958,-,5.3,AT3G21175,blue,3
M0695,2937,2958,+,5.61818,AT3G21175,blue,3
M0695,63,85,-,7.57931,AT3G21175,blue,3
M0695,68,90,-,5.50345,AT3G21175,blue,3
M0695,550,572,-,9.82759,AT3G21175,blue,3
M0695,550,572,+,5.7931,AT3G21175,blue,3
M0695,579,601,+,6.45517,AT3G21175,blue,3
M0695,629,651,-,10.8345,AT3G21175,blue,3
M0695,629,651,+,10.1931,AT3G21175,blue,3
M0695,904,926,-,7.21379,AT3G21175,blue,3
M0695,1685,1707,+,8.42069,AT3G21175,blue,3
M0695,2291,2313,-,5.61379,AT3G21175,blue,3
M0695,2447,2469,-,6.92414,AT3G21175,blue,3
M0695,553,574,-,4.37273,AT3G21175,blue,3
M0695,582,603,+,5.16364,AT3G21175,blue,3
M0695,681,702,+,4.64545,AT3G21175,blue,3
M0695,2829,2850,-,9.08182,AT3G21175,blue,3
M0695,165,186,-,9.57258,AT3G21175,blue,3
M0695,397,418,-,5.18548,AT3G21175,blue,3
M0695,397,418,+,6.83065,AT3G21175,blue,3
M0695,941,962,-,9.72581,AT3G21175,blue,3
M0695,1010,1031,-,7.25,AT3G21175,blue,3
M0695,1050,1071,-,9.45161,AT3G21175,blue,3
M0695,1680,1701,+,11.2177,AT3G21175,blue,3
M0695,1686,1707,-,6.25806,AT3G21175,blue,3
M0695,2090,2111,-,5.39516,AT3G21175,blue,3
M0695,2132,2153,-,5.03226,AT3G21175,blue,3
M0695,2826,2847,-,5.6129,AT3G21175,blue,3
M0695,2826,2847,+,10.5161,AT3G21175,blue,3
M0081,469,476,+,6.88,AT3G25730,blue,3
M0081,1940,1947,-,7.15,AT3G25730,blue,3
M0082,1540,1547,-,5.11927,AT3G25730,blue,3
M0082,1940,1947,-,5.38532,AT3G25730,blue,3
M0082,2898,2905,+,5.42202,AT3G25730,blue,3
M0082,2916,2923,+,5.11927,AT3G25730,blue,3
M0082,2925,2932,+,5.3211,AT3G25730,blue,3
M0027,1452,1461,+,5.82653,AT4G17490,blue,3
M0027,1446,1467,-,7.53636,AT4G17490,blue,3
M0027,1447,1469,-,7.01429,AT4G17490,blue,3
M0027,1445,1466,+,0.653061,AT4G17490,blue,3
M0268,828,837,-,9.20202,AT4G36730,blue,3
M0268,1087,1096,-,8,AT4G36730,blue,3
M0268,2149,2158,+,10.202,AT4G36730,blue,3
M0268,1522,1543,+,4.3578,AT4G36730,blue,3
M0268,1524,1545,+,4.87156,AT4G36730,blue,3
M0268,1981,2002,-,3.72477,AT4G36730,blue,3
M0268,822,843,+,12.5688,AT4G36730,blue,3
M0268,1081,1102,+,3.33945,AT4G36730,blue,3
M0268,2143,2164,-,2.87156,AT4G36730,blue,3
M0268,821,842,-,9.49541,AT4G36730,blue,3
M0268,2144,2165,+,6.90826,AT4G36730,blue,3
M0268,152,173,-,2.48624,AT4G36730,blue,3
M0268,822,843,+,8.40367,AT4G36730,blue,3
M0268,1231,1252,-,2.2844,AT4G36730,blue,3
M0268,1590,1611,+,2.49541,AT4G36730,blue,3
M0268,1720,1741,-,2.88991,AT4G36730,blue,3
M0268,2005,2026,-,3.3945,AT4G36730,blue,3
M0268,2390,2411,+,2.65138,AT4G36730,blue,3
M0270,2089,2096,-,7.14286,AT5G06960,blue,2
M0270,2152,2159,-,8.12245,AT5G06960,blue,2
M0270,443,464,+,5.42727,AT5G06960,blue,2
M0270,2905,2926,-,3.86364,AT5G06960,blue,2
M0270,2905,2926,+,4.90909,AT5G06960,blue,2
M0270,2904,2926,+,3.04587,AT5G06960,blue,2
M0270,888,909,-,-0.424242,AT5G06960,blue,2
M0270,888,910,-,5.6055,AT5G06960,blue,2
M0004,1453,1460,+,11.8878,AT5G44210,blue,2
M0009,1452,1461,-,9.67,AT5G44210,blue,2
M0009,1445,1466,+,10.633,AT5G44210,blue,2
M0009,1446,1467,+,8.77551,AT5G44210,blue,2
M0009,1445,1467,+,2.16327,AT5G44210,blue,2
M0010,971,978,-,7.35354,AT5G44210,blue,2
M0010,1452,1459,-,8.22222,AT5G44210,blue,2
M0010,1446,1468,-,3.46789,AT5G44210,blue,2
M0010,1446,1467,+,4.87156,AT5G44210,blue,2
M0010,2588,2609,+,2.9633,AT5G44210,blue,2
M0011,1453,1460,+,11.9082,AT5G44210,blue,2
M0011,1445,1466,+,10.7156,AT5G44210,blue,2
M0011,1445,1466,+,10.7156,AT5G44210,blue,2
M0011,1446,1467,+,1.64286,AT5G44210,blue,2
M0011,1465,1486,-,0.857143,AT5G44210,blue,2
M0011,1445,1466,+,1.61224,AT5G44210,blue,2
M0012,1453,1462,+,10.6869,AT5G44210,blue,2
M0012,1445,1467,+,7.16514,AT5G44210,blue,2
M0012,1446,1467,+,6.02752,AT5G44210,blue,2
M0012,1446,1467,+,1.93878,AT5G44210,blue,2
M0012,1445,1467,+,2.83673,AT5G44210,blue,2
M0018,1451,1460,-,10.2653,AT5G44210,blue,2
M0018,1445,1466,+,7.9633,AT5G44210,blue,2
M0018,1446,1468,+,7.41284,AT5G44210,blue,2
M0021,1452,1459,-,6.14159,AT5G44210,blue,2
M0021,1446,1467,-,5.44037,AT5G44210,blue,2
M0021,1446,1468,-,4.7156,AT5G44210,blue,2
M0023,1453,1462,+,10.24,AT5G44210,blue,2
M0023,1445,1466,+,10.8367,AT5G44210,blue,2
M0023,1446,1468,-,8.70408,AT5G44210,blue,2
M0023,1445,1467,+,1.4898,AT5G44210,blue,2
M0036,1452,1461,+,8.95804,AT5G44210,blue,2
M0036,1445,1466,+,7.02041,AT5G44210,blue,2
M0036,1446,1468,-,6.07339,AT5G44210,blue,2
M0037,1452,1461,+,10.1277,AT5G44210,blue,2
M0037,1445,1466,+,4.26531,AT5G44210,blue,2
M0037,1466,1487,-,-0.204082,AT5G44210,blue,2
M0037,1465,1486,-,4.65306,AT5G44210,blue,2
M0044,1451,1460,-,8.83673,AT5G44210,blue,2
M0038,1451,1460,+,8.6763,AT5G47220,blue,2
M0038,1445,1466,+,6.29592,AT5G47220,blue,2
M0038,1445,1466,+,4.5,AT5G47220,blue,2
M0038,1466,1487,-,0.316327,AT5G47220,blue,2
M0039,1451,1460,+,8.30332,AT5G47230,blue,2
M0020,1453,1460,+,11.0816,AT5G61590,blue,3
M0020,1445,1467,+,7.48624,AT5G61590,blue,3
M0020,284,306,-,2.64286,AT5G61590,blue,3
M0020,286,307,+,5.30612,AT5G61590,blue,3
M0024,1452,1459,+,8.42466,AT5G61590,blue,3
M0024,1446,1467,+,12.7959,AT5G61590,blue,3
M0024,1445,1466,+,11.4898,AT5G61590,blue,3
M0024,1466,1488,+,7.60976,AT5G61590,blue,3
M0028,1452,1460,+,9.67677,AT5G61590,blue,3
M0028,1442,1464,+,3.96748,AT5G61590,blue,3
M0028,1445,1467,+,7.02752,AT5G61590,blue,3
M0028,1445,1467,-,9.17273,AT5G61590,blue,3
M0035,1446,1467,+,12.5046,AT5G61590,blue,3
M0035,963,984,+,3.06422,AT5G61590,blue,3
M0035,967,988,-,5.38532,AT5G61590,blue,3
M0035,1444,1465,+,7.27523,AT5G61590,blue,3
M0035,965,986,-,2.37273,AT5G61590,blue,3
M0035,965,986,+,3.74545,AT5G61590,blue,3
M0035,1446,1467,+,4.40909,AT5G61590,blue,3
M0040,1453,1460,+,5.4898,AT5G61590,blue,3
M0040,1446,1468,-,10.9727,AT5G61590,blue,3
M0040,1446,1467,-,11.2581,AT5G61590,blue,3
M0040,1446,1467,+,6.63303,AT5G61590,blue,3
M0040,1445,1466,+,7.11927,AT5G61590,blue,3
M0013,1441,1448,-,3.82653,,black,1
M0013,1540,1547,-,4.21429,,black,1
M0013,2916,2923,+,4.21429,,black,1
M0019,1452,1460,-,8.1,,black,1
M0019,1446,1467,+,3.31633,,black,1
M0025,1452,1461,-,4.09184,,black,1
M0026,1452,1461,+,9.15596,,black,1
M0026,1446,1467,+,4.23469,,black,1
M0026,1446,1467,+,4.93878,,black,1
M0026,2845,2866,+,6.61224,,black,1
M0026,2845,2866,+,2.18367,,black,1
M0026,1831,1853,-,2.05102,,black,1
M0026,2844,2866,+,3.31633,,black,1
M0029,1452,1459,+,6.87755,,black,1
M0030,333,340,+,6.89431,,black,1
M0030,745,752,-,6.87805,,black,1
M0030,2120,2127,-,6.89431,,black,1
M0030,326,347,-,4.75229,,black,1
M0030,1713,1734,+,3.23853,,black,1
M0030,326,347,+,6.10569,,black,1
M0030,1713,1734,-,5.13821,,black,1
M0030,2846,2867,+,4.31707,,black,1
M0030,326,347,-,3.70642,,black,1
M0030,2297,2318,-,2.37615,,black,1
M0030,327,349,-,4.81651,,black,1
M0030,2032,2054,-,1.77982,,black,1
M0030,2298,2320,-,2.66972,,black,1
M0034,1453,1460,+,4.18367,,black,1
M0034,2852,2859,+,5.2551,,black,1
M0034,1446,1467,+,4.19266,,black,1
M0034,2845,2866,+,9.84404,,black,1
M0034,1446,1467,+,4.19266,,black,1
M0034,2845,2866,+,9.84404,,black,1
M0034,325,346,+,0.5,,black,1
M0034,1645,1666,-,4.65306,,black,1
M0034,2114,2135,-,0.836735,,black,1
M0034,2161,2182,+,3.10204,,black,1
M0034,1644,1666,+,6.2551,,black,1
M0034,1830,1852,+,3.54082,,black,1
M0034,2161,2183,-,3.21429,,black,1
M0041,1452,1460,+,8.9697,,black,1
M0041,1446,1467,+,8.39796,,black,1
M0041,1445,1466,+,7.04082,,black,1
M0043,1453,1460,+,7.14634,,black,1
M0074,2851,2860,+,5.73469,,black,1
M0076,1453,1460,+,3.52041,,black,1
M0076,2852,2859,+,4.85714,,black,1
M0077,1453,1460,+,10.8673,,black,1
M0150,828,835,+,3.66327,,black,1
M0150,2013,2020,-,3.77551,,black,1
M0150,1464,1485,+,0.724771,,black,1
M0150,1663,1684,+,2.14679,,black,1
M0150,1664,1686,-,0.40367,,black,1
M0150,210,231,+,8.05051,,black,1
M0150,502,523,-,3.13131,,black,1
M0150,1522,1543,-,3.46465,,black,1
M0150,2111,2132,-,2.39394,,black,1
M0150,2894,2915,+,3.11111,,black,1
M0150,210,232,+,5.24242,,black,1
M0150,501,523,-,3.79798,,black,1
M0150,546,568,-,4.62626,,black,1
M0150,1201,1223,+,3.84848,,black,1
M0150,2110,2132,-,3.43434,,black,1
M0150,2573,2595,-,4.44444,,black,1
M0150,2574,2596,+,6.42424,,black,1
M0150,2893,2915,-,4.76768,,black,1
M0150,2894,2916,+,6.0404,,black,1
M0151,829,835,+,8.59184,,black,1
M0151,1529,1535,-,8.35714,,black,1
M0151,1668,1674,-,8.35714,,black,1
M0151,2151,2157,-,8.59184,,black,1
M0151,821,843,+,1.88073,,black,1
M0151,1521,1543,-,2.09174,,black,1
M0151,133,154,+,4.37615,,black,1
M0151,817,838,-,2.76147,,black,1
M0151,821,842,-,4.3578,,black,1
M0151,2389,2410,+,1.81651,,black,1
M0151,132,153,-,2.85321,,black,1
M0151,818,839,+,2.6055,,black,1
M0151,820,841,-,1.59633,,black,1
M0151,822,843,+,5.15596,,black,1
M0151,2388,2409,-,3.41284,,black,1
M0152,1663,1684,+,4.69697,,black,1
M0152,2574,2595,+,2.18182,,black,1
M0152,1009,1030,+,2.31633,,black,1
M0152,1521,1542,-,2.34694,,black,1
M0152,1664,1685,+,2.91837,,black,1
M0152,210,231,+,2.34,,black,1
M0152,502,523,-,3.82,,black,1
M0152,502,523,+,3.41,,black,1
M0152,547,568,+,3.12,,black,1
M0152,821,842,-,2.3,,black,1
M0152,885,906,+,2.6,,black,1
M0152,1232,1253,-,3.32,,black,1
M0152,1415,1436,+,2.28,,black,1
M0152,501,522,+,1.89796,,black,1
M0152,503,524,-,0.163265,,black,1
M0152,820,841,+,2.32653,,black,1
M0152,886,907,-,1.22449,,black,1
M0152,892,913,-,-0.0918367,,black,1
M0152,1416,1437,-,0.744898,,black,1
M0152,1521,1542,+,0.826531,,black,1
M0152,2104,2125,+,-0.102041,,black,1
M0153,827,835,-,8.46364,,black,1
M0153,2151,2159,+,7.98182,,black,1
M0153,821,842,+,2.37615,,black,1
M0153,819,840,-,2.11927,,black,1
M0153,1006,1027,-,2.14679,,black,1
M0153,1078,1099,-,4.3578,,black,1
M0153,1524,1545,+,1.70642,,black,1
M0153,820,842,+,7.91919,,black,1
M0153,885,906,+,6.09901,,black,1
M0155,827,838,+,6.55102,,black,1
M0155,889,900,-,6.83673,,black,1
M0155,2115,2126,-,5.22449,,black,1
M0155,821,842,+,3.10092,,black,1
M0155,885,906,-,4.38532,,black,1
M0155,821,843,-,4.50407,,black,1
M0155,884,906,+,6.78862,,black,1
M0155,821,842,-,1.54128,,black,1
M0155,885,906,+,2.54128,,black,1
M0155,1415,1436,+,3.24771,,black,1
M0155,1522,1543,-,1.77982,,black,1
M0155,2148,2169,-,3.11927,,black,1
M0155,890,912,+,5,,black,1
M0155,1414,1436,+,2.46341,,black,1
M0155,2148,2170,-,5.13008,,black,1
M0161,827,836,-,8.23762,,black,1
M0161,827,836,+,8.23762,,black,1
M0161,885,906,+,5.07339,,black,1
M0161,884,906,+,3.90816,,black,1
M0161,210,231,-,6.0404,,black,1
M0161,210,231,+,7.09091,,black,1
M0161,502,523,-,4.69697,,black,1
M0161,885,906,-,5.0404,,black,1
M0161,1492,1513,-,8.55556,,black,1
M0161,2105,2126,+,3.9899,,black,1
M0161,2574,2595,+,4.18182,,black,1
M0161,503,524,+,-0.204082,,black,1
M0161,820,841,-,6.03061,,black,1
M0161,884,905,-,1.56122,,black,1
M0161,886,907,+,2.5,,black,1
M0161,892,913,+,4.43878,,black,1
M0161,944,965,-,0.0612245,,black,1
M0161,1416,1437,+,1.29592,,black,1
M0161,1521,1542,-,2.36735,,black,1
M0161,2110,2131,-,1.56122,,black,1
M0162,827,835,+,7.61616,,black,1
M0162,828,836,-,9.57576,,black,1
M0162,2150,2158,+,8.22222,,black,1
M0162,821,842,-,4.38532,,black,1
M0162,820,841,-,1.89796,,black,1
M0162,818,839,+,1.30612,,black,1
M0162,822,843,+,2.56122,,black,1
M0162,2388,2409,-,4.05102,,black,1
M0162,133,154,-,1.64286,,black,1
M0162,817,838,+,1.5,,black,1
M0162,821,842,+,2.36735,,black,1
M0162,2389,2410,-,5.15306,,black,1
M0163,828,837,-,7.90816,,black,1
M0163,2901,2910,-,7.62245,,black,1
M0163,1260,1281,+,1.04082,,black,1
M0163,1521,1542,-,1,,black,1
M0163,2895,2916,+,1.39796,,black,1
M0163,821,842,+,3.56122,,black,1
M0163,2894,2915,-,3.9898,,black,1
M0166,820,842,+,2.78899,,black,1
M0166,821,843,-,3.33945,,black,1
M0166,821,842,-,3.87156,,black,1
M0166,209,231,+,6.49194,,black,1
M0166,210,231,+,2.16514,,black,1
M0167,210,231,+,6.46465,,black,1
M0167,885,906,+,4.0101,,black,1
M0167,1008,1029,+,5.10101,,black,1
M0167,1201,1222,+,4.09091,,black,1
M0167,1492,1513,-,5.85859,,black,1
M0167,2894,2915,+,4.39394,,black,1
M0227,1046,1054,+,3.95918,,black,1
M0227,1087,1095,+,4.19388,,black,1
M0227,1177,1185,+,4.23469,,black,1
M0227,1639,1647,-,3.77551,,black,1
M0251,827,836,-,7.74747,,black,1
M0251,827,836,+,7.74747,,black,1
M0251,821,842,-,6.11009,,black,1
M0251,1522,1543,-,4.37615,,black,1
M0251,1522,1543,+,5.49541,,black,1
M0251,821,843,-,5.12245,,black,1
M0251,210,231,+,0.979592,,black,1
M0251,885,906,-,2.77551,,black,1
M0251,1492,1513,-,2.65306,,black,1
M0251,1492,1513,+,4.30612,,black,1
M0251,211,233,-,0.27551,,black,1
M0251,500,522,+,0.622449,,black,1
M0251,503,525,-,0.602041,,black,1
M0251,892,914,-,-1.10204,,black,1
M0251,1416,1438,-,2.85714,,black,1
M0251,2109,2131,+,1.67347,,black,1
M0253,828,835,+,4.89796,,black,1
M0253,1529,1536,-,6.63265,,black,1
M0253,1668,1675,-,6.63265,,black,1
M0253,2901,2908,-,6.05102,,black,1
M0255,828,836,+,9.12121,,black,1
M0255,1529,1537,+,7.44444,,black,1
M0255,2150,2158,-,9.08081,,black,1
M0255,1522,1543,-,3.90244,,black,1
M0255,1524,1545,-,3.78049,,black,1
M0255,1981,2002,+,4.50407,,black,1
M0255,1009,1030,+,2.70642,,black,1
M0255,1233,1254,+,1.58716,,black,1
M0255,1523,1544,+,2.27523,,black,1
M0255,2625,2646,+,2.41284,,black,1
M0255,821,842,+,2.73636,,black,1
M0255,2143,2164,-,2.88991,,black,1
M0255,2703,2724,+,3.26606,,black,1
M0260,1484,1505,+,3.58065,,black,1
M0260,2676,2697,-,2.94545,,black,1
M0260,2714,2735,-,3.16364,,black,1
M0262,428,449,+,6.06452,,black,1
